"id_tour","title","description","price","available_places","start_date","end_date"
"1","Волшебство Золотого кольца","Путешествие по древним городам России","5000","10","2/2/2022","2/9/2022"
"2","Тайны древней Москвы","Экскурсия по историческим местам столицы","2000","15","3/16/2022","3/9/2022"
"3","По следам великих императоров","Посещение дворцов и резеденций русских императоров","1700","8","4/27/2022","5/4/2022"
"4","Загадки Байкала","Исследуем самое глубокое озеро мира","8000","12","6/8/2022","6/15/2022"
"5","Путешествие к сердцу Сибири","Экспедиция по живописным уголкам сибиркой тайги","1000","6","7/20/2022","7/27/2022"
"6","Вкус Италии: гастрономический тур","Дегустация лучших блюд итальянской кухни","1200","5","8/31/2022","9/7/2022"
"7","Париж - город любви","Романтическое путешествие по Парижу","1500","7","10/12/2022","10/19/2022"
"8","Скандинавские фьорды: природа и легенды","Позновательный круиз по Норвегии","9000","9","11/13/2022","11/30/2022"
"9","Магия Востока: Турция и её сокровища","Откройте для себя удивительные места Турции","6000","14","12/30/2022","1/6/2023"
"10","Великие пирамиды Египта","Погрузитесь в историю Древнего Египта","10000","11","2/8/2023","2/15/2023"
"11","Круиз по Средиземноморью","Путешествуйте по самым красивым берегам Средиземного моря","18000","4","3/22/2023","3/29/2023"
"12","Швейцария: альпийские вершины и озера","Восхитительный отдых среди швейцарских Альп","13000","13","4/26/2023","5/3/2023"
"13","Япония: страна восходящего солнца","Познакомтесь с культурой и традициями Япониии","14000","3","6/7/2023","6/14/2023"
"14","Индия: колорит и традиции","Увлекательное погружение в индийскую культуру","7500","16","7/19/2023","7/26/2023"
"15","Австралия: путешествие по континенту","Иследование разнообразных ландшафтов Австралии","16000","2","8/30/2023","9/6/2023"
"16","Канада: от океана до океана","Пересечение канада  востока на запод","11000","17","10/4/2023","10/10/2023"
"17","Африканское сафари: встреча с дикой природой  ","Приключения в сердце африканского континента","19000","18","2/16/2023","2/23/2023"
"18","Китай: великая стена и древние города","История Китая через посещения его главных достопремичательностей  ","9500","19","3/30/2022","4/6/2022"
"19","Марокко: ароматы и краски пустыни","Впечатляющее путешествие по марокканским пустыням","10500","20","5/11/2022","5/18/2022"
"20","Бразилия: карнавалы и водопады","Участие в бразильском карнавале и посещение водопадов","12500","12","6/22/2022","6/29/2022"
"21","Греция: аутичные руины острова","Открытие древних цивилизаций Греции","11500","22","8/3/2022","8/10/2022"
"22","Исландия: ледники и гейзеры","Путешествие по уникальным природным объектам Исладнии","13500","23","9/14/2022","9/21/2022"
"23","Вьетнам: экзотика Юго-Восточной Азии","Окунитесь в атмосферу Вьетнама","8500","24","10/26/2022","11/2/2022"
"24","Новая Зеландия: природа и приключения","Активный отдых в новой Зеландии","14500","25","12/7/2022","12/14/2022"
"25","Норвегия: северное сияние и ледяные отели","Наблюдение за северным сиянием и проживание в уникальном отеле","15500","26","1/18/2023","1/25/2022"
"26","Индия","Огромная страна с многообразием языков, религий и традиций. Индийская кухня, йога и фестивали","15000","23","2/12/2023","2/12/2023"
"27","Новый тур","Описание нового тура","1000","10","3/15/2024","3/22/2024"
"28","Новый тур","Описание нового тура","1000","10","3/15/2024","3/22/2024"
"62","Tour for booking 33","Описание нового тура","1000","10","12/13/2024","12/13/2024"
